type_id,type,product_id,product_name,product_finalprice,product_price,rating_html,soon_release,product_url,image_src,discount,discount_label_html,episode,series_id,subscribes
bundle,bundle,424214,Combo Sách Giáo Trình Chuẩn HSK 4 Tập 2 - Sách Bài Học Và Bài Tập (Bộ 2 Cuốn),291.060,396.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/combo-sach-giao-trinh-chuan-hsk-4-tap-2-sach-bai-hoc-va-bai-tap-bo-2-cuon.html,https://cdn0.fahasa.com/media/catalog/product/c/o/combo-9786043357158-9786045897454.jpg,26.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">26%</span></div>",Tập 2,,
simple,simple,366808,Đĩa Xoay Động Từ Bất Qui Tắc Tiếng Anh,11.550,15.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",,https://www.fahasa.com/dia-xoay-dong-tu-bat-qui-tac-tieng-anh.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_236157.jpg,23.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">23%</span></div>",,,
simple,simple,459846,Daily Expression - Top 1500+ Cụm Từ Tiếng Anh Thông Dụng Theo Chủ Đề,111.300,159.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/top-1500-cum-tu-tieng-anh-thong-dung-theo-chu-de.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8935309503810.jpg,30.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">30%</span></div>",,,
series,series,360786,Giáo Trình Chuẩn Yct,,,,,https://www.fahasa.com/seriesbook-index-series-id-21323.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043779875.jpg,,,Tập mới nhất: 6,21323,3934
simple,simple,414334,Giáo Trình Chuẩn YCT 2 - Sách Bài Tập,55.760,68.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giao-trinh-chuan-yct-2-sach-bai-tap.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043772074.jpg,18.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">18%</span></div>",Tập 2,,
simple,simple,445722,Cambridge IELTS 18 Academic - With Answer + Audio (Kèm Audio),223.100,230.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/cambridge-ielts-18-academic-with-answer-audio.html,https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-18aca-1_1.jpg,3.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">3%</span></div>",Tập 18,,
simple,simple,349496,Mind Map English Vocabulary - Từ Vựng Tiếng Anh Qua Sơ Đồ Tư Duy,138.600,198.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/mind-map-english-vocabulary-tu-vung-tieng-anh-qua-so-do-tu-duy.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_223755.jpg,30.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">30%</span></div>",,,
simple,simple,429828,Giáo Trình Chuẩn YCT 3 (Quét Mã Để Nghe File Mp3),121.360,148.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giao-trinh-chuan-yct-3-quet-ma-de-nghe-file-mp3.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043779875.jpg,18.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">18%</span></div>",Tập 3,,
simple,simple,414335,Giáo Trình Chuẩn YCT 3 - Sách Bài Tập,70.520,86.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giao-trinh-chuan-yct-3-sach-bai-tap.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043772081.jpg,18.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">18%</span></div>",Tập 3,,
simple,simple,570791,301 Câu Đàm Thoại Tiếng Hoa (Tái Bản 2024),73.800,90.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/301-cau-dam-thoai-tieng-hoa-tai-ban-2024.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043645194-1.jpg,18.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">18%</span></div>",,,
